Name,Type,Phone Number,Website,Types,GPS Coordinates,Address
Arkana Spiritual Center : Amazon - Ayahuasca Retreat,Retreat center,+51 924 022 272,http://www.arkanainternational.com/,"Retreat center,Psychoneurological specialized clinic","-3.7482548999999996, -73.2441649","Jirón Fitzcarrald 152, Iquitos 16002, Peru"
EL PURGUERO AYAHUASCA RETREAT,Retreat center,+51 965 761 626,http://elpurguero.com/,Retreat center,"-3.7341594999999996, -73.2410788","Nauta 23, Iquitos 16003, Peru"
"Dreamglade - Shamanic Healing Center -Iquitos, Peru",Retreat center,+51 920 478 240,http://www.dreamglade.com/,Retreat center,"-3.9012659999999997, -73.39355069999999","14692 varilla, Iquitos 16000, Peru"
Luz del Amazonas,Retreat center,+51 971 676 656,http://www.luzdelamazonas.com/,"Retreat center,Yoga retreat center","-3.7469877, -73.2445788","Condamine 220, Iquitos 16001, Peru"
Alma Healing Center - Ayahuasca Retreat Ecuador,Retreat center,+593 98 527 1478,https://almahealingcenter.com/,Retreat center,"-0.2556538, -78.4054086","Via al Ilalo, 170902, Ecuador"
Alma Centro de Bienestar Holístico,Wellness center,+593 99 551 2304,,Wellness center,"-0.18716429999999998, -78.4818647","Rusia 198, Quito 170135, Ecuador"
A New Day Retreats,Retreat Center,+34 684 22 77 77,http://www.anewdayretreats.com/,Retreat Center,"38.6220414, -0.1299547","Av. de Sagi Barba, 03520 Polop, Alicante, Spain"
COSTA RICA Ayahuasca,Wellness center,+506 8741 8392,https://retreat.guru/centers/4659-1/ayahuasca-costa-rica,"Wellness center,Retreat center","9.423847799999999, -83.6782265","C8FC+GP, San José Province, Pérez Zeledón, Costa Rica"
Nada Brahma - Ayahuasca Spiritual Retreats Costa Rica,Retreat center,+506 8864 3241,https://nadabrahmahealingcenter.com/,"Retreat center,Service establishment","8.2588996, -84.93997039999999",
Awaken Your Soul Costa Rica Retreat,Wellness program,(800) 940-3638,http://www.awakenyoursoul.co/,"Wellness program,Service establishment","8.2588996, -84.93997039999999",
New Life Ayahuasca,Retreat center,(215) 310-1250,http://newlifeayahuasca.com/,Retreat center,"10.1001111, -84.4982204","400 m South and 200 m West, Alajuela Province, San Ramon, 20201, Costa Rica"
Soltara,Retreat center,(800) 397-1730,https://soltara.co/,"Retreat center,Hotel","9.9134268, -84.9225898","Playa Blanca, Puntarenas Province, Gigante, Costa Rica"
EMBODY Costa Rica,Retreat center,+506 6223 7434,http://embodycostarica.com/,Retreat center,"9.9734222, -84.3730248","C. Boquerón, Alajuela Province, Atenas, 20501, Costa Rica"
Florestral Retreat Center,Yoga retreat center,+506 6444 3773,https://www.solcircle.org/,Yoga retreat center,"9.2651744, -83.7905286","Unnamed Road, San José, Pérez Zeledón, Costa Rica"
Finca Mia Retreat Center,Yoga retreat center,,http://www.fincamia.com/,"Yoga retreat center,Massage spa,Resort hotel,Retreat center","9.4592646, -83.5900636","Canaan Los Angeles, Provincia de, San José, Rivas, Costa Rica"
Mundo Gente Medicina,Retreat center,+506 8386 8031,http://www.mundogentemedicina.com/,"Retreat center,Service establishment","8.2588996, -84.93997039999999",
Finca de Vida Retreat and Hotel,Hotel,+506 8893 7407,http://fincadevida.com/,Hotel,"9.243879999999999, -83.77557499999999","Unnamed Road, San José Province, Pérez Zeledón, Costa Rica"
The Retreat Costa Rica - Wellness Resort & Spa,Hotel,+506 2106 3900,https://www.theretreatcostarica.com/,Hotel,"9.9667446, -84.4414927","Entrada de adoquín, Atenas, Barrio Jesús 700 metros Oeste de la entrada de Barroeta, Alajuela Province, Atenas, Costa Rica"
Om Jungle Medicine,Retreat center,+506 8885 3877,https://omjunglemedicine.com/,"Retreat center,Service establishment","9.880546299999999, -85.5228996",
Villa Inti Wasi,Resort hotel,(775) 525-1285,http://villaintiwasi.com/,Resort hotel,"9.9540559, -84.5203676","3.5 Kilometro Norte de Parque, Provincia de Alajuela, San Mateo, 20401, Costa Rica"
ASANAI for Life,Retreat center,+506 6223 4255,http://asanaiforlife.net/,"Retreat center,Mountain cabin,Yoga retreat center","10.3094708, -84.5804162","C. Las Rocas, Alajuela Province, San Jorge, Costa Rica"
Holos Retreat Center,Hotel,+506 8884 6567,http://holos.global/,Hotel,"9.258125999999999, -83.8009587","San José Province, Pérez Zeledón, Costa Rica"
"Dragonfly Awakenings Healing, Integration & Wellness Retreat Center",Retreat center,+506 6046 1109,http://dragonflyawakenings.org/,Retreat center,"10.4595145, -84.6028987","Calle Los Pérez, Alajuela Province, La Fortuna, 21007, Costa Rica"
Posada Natura,Health resort,,https://www.posadanatura.org/,"Health resort,Wellness center,Wellness hotel,Wellness program","9.4656936, -84.05761749999999","Puntarenas Province, Naranjito, Londres, Costa Rica"
Sibu Wellness Center,Wellness center,+506 8881 6977,http://sibuwellness.com/,"Wellness center,Retreat center,Spa","9.4178679, -83.6873356","Miravalles, San José, San Isidro de El General, 11091, Costa Rica"
Kinkara Luxury Retreat,Resort hotel,(510) 443-0660,https://www.kinkara.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,Resort hotel,"9.3638771, -83.6253425","100m Norte Pulpería la Valencia, Santa Elena, Costa Rica"
Samasati Healing Retreat Center,Yoga retreat center,(786) 791-4653,http://www.samasati.com/,"Yoga retreat center,Hotel,Nature preserve,Retreat center,Wellness hotel,Yoga instructor","9.6552077, -82.80386039999999","From the public school in Hone Creek 800 meters towards Carbon 1 street Puerto Viejo de Talamanca, Limón Province, Cahuita, Costa Rica"
Guatemala,Retreat Center,,,Retreat Center,"15.783470999999999, -90.23075899999999",
Pathway Creations,Retreat Center,(978) 736-3749,http://www.pathwaycreations.org/,Retreat Center,"37.8674493, -77.70920459999999","17009 Faithful Run, Montpelier, VA 23192"
Oregon Wellness Retreat by BFF,Retreat Center,(458) 285-5269,https://oregonwellnessretreat.com/,Retreat Center,"42.204509099999996, -122.7196417","438 N Main St, Ashland, OR 97520"
Tree of Life Facilitation Services LLC,Retreat Center,,https://www.treeoflifefacilitation.com/,Retreat Center,"45.538774, -122.6748786",
Arcadia Tulum,Apartment building,,,Apartment building,"20.203357399999998, -87.4570372","Calle Kabah, C. Labnah, 77760 Tulum, Q.R., Mexico"
"BREATHWORK TULUM - Breathwork Retreats & Unique Healing Experiences, Sound Healing, Traditional Cacao Ceremonies & More",Wellness center,+52 55 4109 8336,http://breathworktulum.com/,"Wellness center,Event planner,Retreat center","20.1957094, -87.43808949999999","DiamanteK Hotel Carretera Bocca Paila km 2.5, National Park, Tulum Hotel Zone 2.5, 77780 Tulum, Q.R., Mexico"
Yäan Wellness,Spa,+52 984 314 3767,https://yaanhealingsanctuary.com/,"Spa,Health spa,Herbal medicine store","20.137078, -87.463652","Carretera Boca Paila KM 10, Quintana Roo 15, 77760 Tulum, Q.R., Mexico"
MAYAN CLAY SPA & BATHHOUSE TULUM,Spa,+52 984 807 9376,http://www.mayanclayspa.com/,"Spa,Day spa,Health spa,Massage spa","20.1431809, -87.4608885","Km 8.5 Bocapaila, Zona Costera, Solidaridad, 77710 Tulum, Q.R., Mexico"
ARCADIA EVENTS TULUM,Function room facility,,,Function room facility,"20.2855792, -87.5108142","77797 Tulum, Q.R., Mexico"
The Sacred Shala by Holistika,Yoga retreat center,+52 984 254 3355,https://www.holistikatulum.com/,Yoga retreat center,"20.2009047, -87.48273549999999","C. 10 Sur Manzana 902 Lote 4, zona 11, La Veleta, 77760 Tulum, Q.R., Mexico"
Casa Arkaana,Wellness center,+52 33 1857 7335,http://casaarkaana.com/,Wellness center,"20.369859599999998, -87.3868763","Aldea Coral, 77774 Tulum, Q.R., Mexico"
Amansala Resort |Beachclub | Spa,Resort hotel,+52 984 804 0950,http://www.amansala.com/,"Resort hotel,Fitness center,Hotel,Massage spa,Restaurant,Spa,Swimming pool,Wellness hotel,Yoga retreat center,Yoga studio","20.1664039, -87.4514355","Carr. Tulum-Boca Paila KM 5.5, Tulum Beach, Zona Hotelera, 77760 Tulum, Q.R., Mexico"
Sanctuary Tulum,Alternative medicine practitioner,(323) 612-2024,https://www.sanctuarytulum.com/,Alternative medicine practitioner,"20.2332362, -87.4165392","Carretera Federal Tulum km 230 + 201, 77780 Tulum, Q.R., Mexico"
"Healing with Adam / Light Language Reiki, Innerdance/ Kundalini Activation, Sound Healing",Holistic medicine practitioner,,https://healingwithadam.online/,Holistic medicine practitioner,"20.2088319, -87.4714443","Av. Tulum, Centro, 77780 Tulum, Q.R., Mexico"
Mr. & Mrs. Shrooms,Retreat Center,+1 876-919-2107,https://mrandmrshrooms.com/,Retreat Center,"18.2692151, -78.3484282",
Mind Heart Praktijk Amsterdam,Counselor,+31 20 215 7705,http://www.mindtrainers.nl/,Counselor,"52.3610404, 4.8591655","Rhijnvis Feithstraat 1, 1054 TT Amsterdam, Netherlands"
Heart of Amsterdam,Hostel,+31 20 624 8879,http://www.heart-hostel.nl/,Hostel,"52.3723106, 4.8974876","Oudezijds Achterburgwal 120, 1012 DT Amsterdam, Netherlands"
Mind Heart Aligned Life,Life coach,+31 6 10717999,http://mindheartaligned.life/,Life coach,"52.3735254, 4.936344699999999","Rietlandpark 33, 1019 DR Amsterdam, Netherlands"
IN THE HEART OF CHANGE,Association / Organization,+31 6 28780736,http://intheheartofchange.com/,Association / Organization,"52.3948342, 4.906096","Johan van Hasseltkade 225a, 1032 LP Amsterdam, Netherlands"
Heart to Change,Coaching center,+31 6 46750732,,Coaching center,"52.337767199999995, 4.872391599999999","Claude Debussylaan 2-8, 1082 MD Amsterdam, Netherlands"
Little Bear Spiritual Wellness Center,Retreat Center,(505) 991-9478,http://littlebearspiritualwellness.com/,Retreat Center,"36.374835499999996, -105.59442399999999","1350 Paseo Del Pueblo Sur Suite A, Taos, NM 87571"
Ibogaine Clinic Inc. by David Dardashti,Wellness center,(800) 818-4511,https://ibogaineclinic.com/,"Wellness center,Addiction treatment center,Rehabilitation center","20.613933, -87.09154079999999","Priv. Rtno Mayapan mz. 20-lt.15, fase 2, Playacar, 77717 Playa del Carmen, Q.R., Mexico"
Xanga Guru,Wellness center,+52 984 144 5217,https://xanga.guru/,Wellness center,"20.693289699999998, -87.0594327","C/O Pueblo Sacbe, Av. Paseos del Mayab 4590, La Guadalupana, 77724 Playa del Carmen, Q.R., Mexico"
Terra Noble - Art & Healing Center,Spa,+52 777 563 9376,https://terranoble.com/,"Spa,Amusement center,Event planner,Function room facility,Holistic medicine practitioner,Spiritist center,Thermal baths,Yoga studio","20.615665399999997, -105.2229843","Tulipanes 595, 5 de Diciembre, 48350 Puerto Vallarta, Jal., Mexico"
Healthy Healing Goddess,Alternative medicine practitioner,(949) 230-0553,https://www.healthyhealinggoddess.com/,Alternative medicine practitioner,"20.606413999999997, -105.23387299999999","Guerrero 418, Centro, 48300 Puerto Vallarta, Jal., Mexico"
Holistic Bio Spa® - Regenerative Medicine Mexico,Medical clinic,,https://www.holisticbiospa.com/?utm_source=GMB&utm_medium=profile&utm_campaign=local_search,"Medical clinic,Alternative medicine practitioner,Dental clinic,Doctor,Holistic medicine practitioner,Medical Center,Medical office,Naturopathic practitioner,Vitamin & supplements store,Wellness center","20.671714599999998, -105.2511565","Plaza Marina, Local B-10, Marina Vallarta, 48335 Puerto Vallarta, Jal., Mexico"
Oriental Healing Puerto Vallarta,Acupuncture clinic,+52 322 170 3027,http://www.orientalhealingpv.com/,"Acupuncture clinic,Health consultant","20.603284, -105.23485199999999","C. Constitución 287 A, Zona Romántica, Emiliano Zapata, 48390 Puerto Vallarta, Jal., Mexico"
Healing Hands Massage & Bodywork,Osteopath,+52 322 155 2491,,"Osteopath,Craniosacral therapy,Massage therapist","20.603654499999998, -105.23635999999999","Ignacio L. Vallarta 228-Interior #6, Zona Romántica, Emiliano Zapata, 48380 Puerto Vallarta, Jal., Mexico"
iluminando.mx,Lighting consultant,+52 322 223 3445,http://iluminando.mx/,"Lighting consultant,Lighting store","20.6925646, -105.2435914","Carretera, Tepic - Puerto Vallarta 5415A, 48291 Las Juntas, Jal., Mexico"
Equilibrium Healing Resort and Spa,Hotel,,,"Hotel,Bird watching area,Hiking area,Meditation center,Observatory,Wellness hotel,Yoga retreat center","20.429274799999998, -105.2986662","Carretera a Barra de Navidad km 185 s/n, 48447 Jal., Mexico"
